_id,detail,discount,link,oldprice,press,price,title
p23055003,由知名翻译家李继宏先生倾心翻译的这本《小王子》，因出色的译文质量和装帧设计，获得法国 圣埃克苏佩里基金会 的支持和推荐，成为官方认可的简体中文译本，并获授权使用全套官方正版插图。众多读者口碑推荐。 曾经翻译了《追风筝的人》《与神对话》《灿烂千阳》等超级畅销经典的李继宏先生，发现很多外国文学不好读并不是原著的 错 ，而是中文译本出了问题。出于一个专业译者的责任心，他决定重新翻译《小王子》《老人与海》《了不起的盖茨比》《动物农场》《瓦尔登湖》等一系列世界文学名著。用当今的语言、规范的文字、严谨的查证，让译文做到极尽精确；通过深入的文本研究，还原原著或干练或纯真的文字风格，让这些优秀文学作品不再被 误读 。在翻译《小王子》的过程中，李继宏不仅对译文逐字推敲，尽量使用孩子能阅读, (5折) ,http://product.dangdang.com/23055003.html,¥32.00,天津人民出版社,¥16.00, 小王子（畅销280万册，作者基金会官方认证简体中文版）
p25093640,1995福克纳奖得主 占据《纽约时报》畅销榜首数月 美国书商协会年度之选 被译成30余种文字，全球畅销500万册 当代美国文学史上罕见的超级畅销获奖经典 全美大中学文学课堂读本，被列入大学文学课程考试大纲 拥有哈罗德 布鲁姆和Cliff Notes等众多导读本 恢弘精妙，融爱情、战争、历史、悬疑和成长小说于一体 多次被改编成电影和舞台剧，同名电影由伊桑霍克和工藤夕贵主演 本书由汇聚国内外文学大师，优秀译者和设计师的 全本书店 出版, (5折) ,http://product.dangdang.com/25093640.html,¥52.00,作家出版社,¥26.00, 雪落香杉树 (福克纳奖得主，全球畅销500万册)
p23490646,★2016年，苏有朋执导同名电影拍摄中，2017年上映 ★《嫌疑人X的献身》是我所能想到至为纯粹的爱情，绝好的诡计。 东野圭吾 ★《嫌疑人X的献身》包揽日本三大推理小说榜年度总冠军：这本推理小说了不起！第1、本格推理小说榜第1、周刊文春推理小说榜第1 ★获第134届直木奖 ★获第6届本格推理小说大奖 ★究竟爱一个人，可以爱到什么地步？究竟什么样的邂逅，可以舍命不悔？波澜不惊的外表下，究竟隐藏着怎样的深情？ ★逻辑的尽头，不是理性与秩序的理想国，而是用生命奉献的爱情 ★为了在紧要关头义无反顾，他事先断了自己的退路，做出了普通人根本无法想象的壮烈牺牲 其他推荐：, (6.92折) ,http://product.dangdang.com/23490646.html,¥35.00,南海出版公司,¥24.20, 东野圭吾：嫌疑人X的献身
p23929894,《俗世奇人》（修订版）130万册的发行量已成为图书市场一道靓丽的风景，是被市场和读者认可的经典版本。《俗世奇人》（贰）是冯骥才先生描写清末民初天津卫奇人异士系列作品的第二部，2015年11月首发，发行量已逾10万册，被中国图书评论学会评为 中国好书 （月榜）上榜图书，部分地区推荐其为2016年中学生寒假阅读书目。, (5折) ,http://product.dangdang.com/23929894.html,¥40.00,作家出版社,¥20.00, 俗世奇人（全二册）
p23694647,★《摆渡人》畅销欧美33个国家的心灵治愈小说，令千万读者灵魂震颤的人性救赎之作。一个史诗般动人的温情故事，回归人性，引人深思。 ★《摆渡人》荣获苏格兰图书大奖、布兰福博斯奖、格兰扁图书奖、考文垂灵感图书奖候补提名，入围英国文学社图书大奖，英国《卫报》等多家重量级报刊媒体震撼推荐。 ★如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？ ★如果我真的存在，也是因为你需要我。 作者从少年人的角度洞悉人性的温情，通过男女主人公的所见所感，细腻道出所有人对亲情、友情和爱情终极幸福的向往。巧妙、惊人的情节交错，让这部小说别具一格，值得瞩目。 重磅推荐： 《萤火虫小巷》：《纽约时报》销售排行榜首，感动全球3000000人。人生是一段孤独旅程，但我遇见了你。你不是我，, (6.5折) ,http://product.dangdang.com/23694647.html,¥36.00,百花洲文艺出版社,¥23.40, 摆渡人（如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？）
p23716798,★ 原著首印量是《百年孤独》的150倍，中文版已售100万册！ ★ 这部光芒闪耀、令人心碎的作品是人类有史以来*伟大的爱情小说。 《纽约时报》 ★ 《霍乱时期的爱情》是我*好的作品，是我发自内心的创作。 加西亚 马尔克斯 ★ 马尔克斯正式授权，首次完整翻译, (6.13折) ,http://product.dangdang.com/23716798.html,¥49.50,南海出版公司,¥30.30, 霍乱时期的爱情（2015版）
p23685329,◆《岛上书店》是一本现象级全球畅销书。 ◆每个人的生命中，都有无比艰难的那一年，将人生变得美好而辽阔。 ◆《岛上书店》写的是书店老板的一生，但真正讲述的，是全人类的阅读、生活和爱。 ◆《岛上书店》是一本关于全世界所有书的书，写给全世界所有真正爱书的人。 ◆席卷《出版人周刊》《纽约时报》《华盛顿邮报》《图书馆日报》各大榜单！ ◆一年之内，畅销美国、英国、德国、法国、荷兰、西班牙、意大利、丹麦、芬兰、挪威、瑞典、冰岛、波兰、加拿大、土耳其、以色列、巴西、日本、韩国等30国！ ◆没有谁是一座孤岛，每本书都是一个世界。《岛上书店》讲述了一段《查令十字街84号》之后不曾再有的书缘情缘。 ◆一个失去了一切的人，如何重新找到牵挂，书，爱情，宴会和欢笑，以及一切美好生活。 ◆《岛上, (5折) ,http://product.dangdang.com/23685329.html,¥35.00,江苏文艺出版社,¥17.50, 岛上书店（每个人的生命中，都有无比艰难的那一年，将人生变得美好而辽阔。）
p25208978,★ 多位著名学者、作家、社会名人郑重推荐 李银河、戴锦华、骆以军、张悦然、蒋方舟、詹宏志、冯唐、史航、李尚龙、杨庆祥、燕公子、新世相张伟、林依晨等感动推荐。 ★ 令人心碎却无能为力的真实故事。向死而生的文学绝唱。 这是一部惊人而特别的小说，一部优美、准确而深刻的文学作品。一部值得我们抛开一切杂音予以肯定的作品。 ★打动万千读者的震撼之书 多家主流媒体持续报道 引发读者热烈讨论的文学创作。繁体版豆瓣读书数万网友标记讨论，澎拜新闻、凤凰文化，新京报书评周刊等媒体多次评论报道。 ★ 轰动华语文学界读者的年度小说 荣获多个奖项 台湾2017Openbook年度好书奖 台湾诚品书店2017年度畅销华文作家TOP1 豆瓣读书2017高分图书特别提名。, (6.92折) ,http://product.dangdang.com/25208978.html,¥45.00,北京联合出版有限公司,¥31.10, 房思琪的初恋乐园
p25170989,《苏菲的世界》 全球销量 超过 45000000 册 翻译成 64 种语言出版 《苏菲的世界》二十世纪百部经典名著之一 中小学生推荐必读图书 《苏菲的世界》*简明有趣的哲学入门书 *温故知新的哲学历程录, (5折) ,http://product.dangdang.com/25170989.html,¥38.00,作家出版社,¥19.00, 苏菲的世界（新版）
p24041704,★《恶意》与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作，读完《恶意》，才算真正认识东野圭吾！ ★从未遇到《恶意》这样的案子：杀人不是目的，而是手段；死亡不是结束，而是开始。 ★潜藏在人心底的无边恶意深不见底，有如万丈深渊，让人不寒而栗。 ★东野圭吾在《恶意》中巧妙地设置了一个又一个反转，从阴谋实施到真相大白间的精巧设计，令读者赞叹不已。 《出版家周刊》（美国） ★《恶意》作为一部推理小说，极尽曲折复杂周密；同时又深刻揭示了人性，达到很多纯文学作品未能达到的深度。《恶意》可与同一作者的《红手指》对照着读。在《恶意》中，恶是没有底线的；在《红手指》中，善残存于恶的底线之下。 止庵 ★你心里藏着对他的恶意，这仇恨深不见底，深得连你自己都无法解释。正是它导, (6.92折) ,http://product.dangdang.com/24041704.html,¥39.50,南海出版公司,¥27.30, 东野圭吾：恶意（2016版）
p25238195,这本小说太令人震撼，很长一段时日，让我所读的一切都相形失色。文学与生活中的所有重要主题，都交织在这部惊世之作里：爱、恐惧、愧疚、赎罪 伊莎贝尔 阿连德 ★ 快乐大本营高圆圆感动推荐，窦靖童创作灵感的来源。 ★ 全球现象级畅销书，感动3200万读者的经典之作。, (7.5折) ,http://product.dangdang.com/25238195.html,¥36.00,上海人民出版社,¥27.00, 追风筝的人（2018年新版）
p25072421,《外婆的道歉信》一定会成为你爱不释手并且向朋友极力推荐的一本书。 这本书里有个 活泼过头 的外婆：她带着七岁的外孙女爱莎夜闯动物园看猴子；用屎球打警察；开车时一边抽烟一边吃烤肉，用膝盖控制方向盘；给雪人穿衣服，让邻居误以为有人从阳台上跌下去；敞开睡衣站阳台上，用彩弹枪射击推销员；从宜家偷黄色购物袋；甚至在男护士身上揩油。关于外婆的每件事都让人既好气又好笑。 或许你会觉得这个没正经的外婆简直太疯癫了，但她却是爱莎心中的超级英雄，因为为了外孙女她不惜与世界为敌。然而有一天，外婆因为癌症不幸去世了，留给了爱莎一项艰巨的任务--送道歉信。跟着爱莎的脚步，关于外婆以及更多古怪的邻居们的故事会逐渐展开，你会爱上这些平凡、有缺点、被命运伤害，但依然可爱的人。他们让你想起生活本身。 作者弗, (5.81折) ,http://product.dangdang.com/25072421.html,¥42.00,天津人民出版社,¥24.40, 外婆的道歉信（马思纯领读书目，人民日报、央视推荐。年度口碑爆棚的温情小说，上市6个月销量突破50万。随书附赠一封神秘道
p25163242,☆畅销欧美33个国家的心灵治愈小说，令千万读者灵魂震颤的人性救赎之作《摆渡人》第二季重磅来袭！ ☆每一个镌刻着爱与善意的灵魂，都会成为我们生命中的摆渡人。 ☆中英文版全球同步上市。 ☆内附精美插图 作者中英文签章。 ☆当我们直面生存、死亡与爱，哪一个会是你的选择？ ☆如果生命进入再次的轮回，你又愿意为此付出怎样的代价？ 重磅推荐： 《摆渡人》：畅销欧美 33个国家，荣获多项图书大奖。如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？如果我真的存在，也是因为你需要我。 《摆渡人》（精装）：百万册畅销插图纪念版，独家收录中文版自序 精美插图。随书赠精美卡册。 《重返 19次人生》：我们痛恨时间无情，是因为曾有一刻，我们无比深情。一部令整个英国为之落泪的心灵治愈, (7.41折) ,http://product.dangdang.com/25163242.html,¥42.80,百花洲文艺出版社,¥31.70, 摆渡人2：重返荒原（每一个镌刻着爱与善意的灵魂，都会成为我们生命中的摆渡人！内附精美插图&作者中英文签章）
p25092039,定本 25周年特别修订 《活着》讲述了人如何去承受巨大的苦难；讲述了眼泪的宽广和丰富；讲述了绝望的不存在；讲述了人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着。本书获得：意大利格林扎纳 卡佛文学奖台湾 中国时报 十大好书奖《亚洲周刊》二十世纪中文小说一百强同名电影获戛纳国际电影节评审团大奖, (5折) ,http://product.dangdang.com/25092039.html,¥35.00,北京十月文艺出版社,¥17.50, 活着（精装版，余华代表作，25周年特别修订）
p25249075,★一个发生在乱世时期的互为知己般的绝美爱情；一部写尽人间纠结苦痛和欲望，瞻远未来的现代启示录。 ★《山本》，当代中国集叛逆性、创造精神和广泛影响力于一身的作家 贾平凹的*旷世奇书！ ★ 贾平凹：山本的故事，正是我的一本秦岭之志。 ★小说与众不同的贾氏特点在其亦庄亦谐上，大的时代风云下，人之命运的不能自主，暴力冲突的血腥残酷 而风暴间歇，女人对美的追求，动物生灵对吉凶祸福的先知和警示，令人莞尔。 ★ 巨大的灾难，一场荒唐，秦岭什么也没改变，依然山高水长，苍苍莽莽，没改变的还有情感，无论在山头或河畔，即便是在石头缝里和牛粪堆上，爱的花朵仍然在开，不禁慨叹万千。 贾平凹, (5折) ,http://product.dangdang.com/25249075.html,¥59.00,作家出版社,¥29.50, 山本“贾平凹巅峰之作震撼上市”
p23311849,更多沈从文精彩好书请点击这里： 边城：一首哀婉凄美的田园牧歌 边城：一首源自湘西边地的田园牧歌 边城 湘行散记：湘西世界唯美的写意画 沈从文经典代表作（沈从文受欢迎的小说和散文代表作！） 1. 精选沈从文代表性的小说25篇，修订纪念典藏版！ 2. 一首哀婉凄美的田园牧歌，美得让人神往，脆弱得令人心疼 3. 现代版《桃花源记》，重寻湘西的自由朴野之美。 4. 琉璃般透明的世界，守护着人性中的至真、至善与至美。 5. 洗净尘埃的田园中，爱是透明的，连惆怅也有了淡淡的暖人的情味。, (5折) ,http://product.dangdang.com/23311849.html,¥35.00,武汉出版社,¥17.50, 边城（沈从文诞辰115周年纪念典藏版）精选沈从文代表性的小说25篇，同类版本中内容量之多居首！重寻湘西的自由朴野之美！
p23765172,★ 被马斯克用火箭送上太空的科幻神作，讲述人类未来两万年的历史。人教版七年级下册教材阅读书目。 ★ 银河帝国 百万册全新纪念版。 ★ 人类历史不容错过的系列小说（ Best All-Time Novel Series ） 世界SF小说协会，1966年，俄亥俄州 ★十年来，数万次修订， 成就中文世界经典译本 ！ ★地球人公认的 科幻圣经 ，文艺青年和技术宅的共同挚爱！ ★《银河帝国》系列小说，一直被认为是人类想象力的极限，人类有趣迷人的故事，讲述人类未来两万年的历史。 ★1977年经典电影《星球大战》，偷取了本书构思。 ★2009年卖座电影《阿凡达》，抄袭了本书创意。 ★不过，2008年诺贝尔经济学奖获得者克鲁格曼则亲口承认，他的经济学理论来自《银河帝国》的启示。 ★出版60年来，本书对人类的太空探索、世界局势、前沿经济学理论、好莱坞电影产生了深, (5折) ,http://product.dangdang.com/23765172.html,¥328.00,江苏文艺出版社,¥164.00, 银河帝国：基地七部曲（被马斯克用火箭送上太空的科幻神作，讲述人类未来两万年的历史。人教版七年级下册教材阅读书目。）（套
p23618525,★ 收录文学洛神萧红代表性作品《呼兰河传》《生死场》 ★ 文学洛神 民国著名作家肖红代表作品，影响数代人的经典。 ★萧红32年短暂生涯的一部 回忆式 长篇小说，是研究她早期生活的重要资料。 ★还原中国上世纪30年代那个穷乱年代，发生的惊心动魄的事，呈现被蒙昧环 境牢困、有些麻木又安于现状的小人物酸甜辣苦。 ★萧红，不懂她的为她忧愁，明白她的叹此生值得一游。一代文学洛神，一生追求爱与自由，在那个充满暴力的、奴役与欺侮的社会中，流浪异乡，敲响生的意义的警钟。 ★人的一生不管怎样长途跋涉，或许都有个萧红笔下的 后花园 ，那里有故乡、亲人、往事 有让一个人走下去的勇气和力量。, (5折) ,http://product.dangdang.com/23618525.html,¥28.80,北京联合出版公司,¥14.40, 呼兰河传（此版本当当网销量遥遥领先！《呼兰河传》和《生死场》的合编本）
p22788959,一部令整个法国为之动容的温情疗愈小说；首印45万册 台湾地区首发2个月内紧急加印8次，吴佩慈、SHE落泪推荐 附赠浪漫告白卡 青春初吻 纪念明信片 《偷影子的人》是马克 李维的第10部作品，该书在法国首印45万册，法国媒体惊叹： 销售得比影子消失的速度还快！ 这部作品完美展现了马克.李维温柔风趣的写作风格，有催人泪下的亲情、浪漫感人的爱情和不离不弃的友情，清新浪漫的气息和温柔感人的故事相互交织，带给读者笑中带泪的阅读感受，是一部唤醒童年回忆和内心梦想的温情疗愈小说。 重磅推荐： 《幸福的另一种含义：当当独家签章版》： 百万畅销书《偷影子的人》作者马克 李维**力作，法国年度畅销榜冠军，上市6个月售出100万册，唤醒内心柔情的治愈系小说。 《孤儿列车》 ： 蔡康永读后诚意推荐，温暖无, (5折) ,http://product.dangdang.com/22788959.html,¥29.80,湖南文艺出版社,¥14.90, 偷影子的人
p102771,本书为中国古典文学读本丛书。 如果你还在为了阅读或收藏价格昂贵的中国古典名著而在书架前徘徊，那么现在你不用愁了，该版的《红楼梦》，不仅价格便宜、印刷美观、装帧古朴，收藏、送人都让你特有面子！实为古典小说的**普及本！ 本书初版于一九八二年三月，距今瞬已十二年。本书初版以来，受到广大读者和专家们的欢迎，也得到了不少指正。这十二年的岁月，使我们进一步认识到，我闪当时确定的几个原则是正确的：一是我们所选择的底本 庚辰本，确是一个学术价值很高、接近曹雪芹原稿的珍贵本子，我们以此为底本，就使这相校本有了很好的基础；二是我们确定的校勘原则（详见《校注凡例》）也是正确的，这样就使我们的校勘工作做到了审慎和准确，不至于随意改动底本文字，从而较好地保持了原本的历史面貌；三是我们确定的注释原, (6.54折) ,http://product.dangdang.com/102771.html,¥59.70,人民文学出版社,¥39.00, 红楼梦原著版（上、下册）（全两册）（1-9年级必读书单）
p25162351,你青春里所有的疑惑，都曾是我的问题。 认识刘同之前，知道他写散文，写他自己，写身边朋友，真诚，真实，感动不少人。没想到，初次合作，他却说，要写小说。长篇。一个他想了多年的故事。 难不成，虚构的？心下暗惊。毕竟，文体之于作者，如兵器之于侠士。磨合久了，浑然一体。散文转小说，真实转虚构，好似林冲挥板斧，李逵抡大锤，难度高，风险大。 不过，他早已开写，拦不住，只好等。 稿子分数批，每批数万字，陆续到齐。看不到一半，一拍大腿，飙句脏话，心踏实了。除去主人公，其他好像都是 真 的。而主人公 郝回归，虽不叫 刘同 ，却依旧是他自己。 另一个他。 当年毕业，爸妈希望稳定，所以他考到了教师资格。虽然*终进了传媒，从 刘经理 做到 刘副总 ，他却常想，如果那时走另一条路，又会怎样？, (6.91折) ,http://product.dangdang.com/25162351.html,¥42.00,北京联合出版有限公司,¥29.00, 我在未来等你：刘同2017年新书
p25217116,《黎明之街》是一部足以比肩《白夜行》《秘密》的经典长篇小说，位列东野圭吾十大杰作，不是推理小说，悬念却持续到全书结尾。 《黎明之街》是东野圭吾名副其实的突破之作，完成度之高令东野圭吾非常满意，他说： 《黎明之街》是我首部以爱恋为主题的小说，没想到居然把这么难的事情完成得这么好。希望读者会有这样的感觉：东野圭吾写了和以往不太一样的东西，不过也很不错呢。 《黎明之街》在日本销量超过200万册，在东野圭吾的作品中能达到这一规模的还有《白夜行》《嫌疑人X的献身》《秘密》等名作。 《黎明之街》罕见地获得已出版50多部东野作品的编辑部成员一致认可、全票推荐： 1.《黎明之街》让我彻底明白了已婚男人这种生物究竟在想什么。 《秘密》编辑 2.想把《黎明之街》送给我的已婚男同学，尤其是那些不安定分子。我佩, (5.02折) ,http://product.dangdang.com/25217116.html,¥49.50,南海出版公司,¥24.80, 黎明之街（东野圭吾极具突破性的经典长篇小说）
p25161377,, (5折) ,http://product.dangdang.com/25161377.html,¥10.00,上海文化出版社,¥5.00, 2017《故事会合订本》.95
p23606140,★20年知己 20天恋人 两心相约 延续一见钟情 ★这一次离别后，要用多少岁月，才能换来重逢？ ★爱就是不讲道理，不顾一切，紧跟你的脚步，等你一回头就能看到我 ★遇见你，只需一瞬；爱你，用尽一生 ★安妮海瑟薇主演同名电影原著 ★英国2011年年度畅销书No.1 世界读书夜选书 ★ 《泰晤士报》《镜报》《卫报》《独立报》等媒体强力推荐 ★ 台湾诚品、博客来、金石堂书店畅销佳作 ★如果年轻时的忧伤往事、白日梦想常常让你感怀，那么这部小说你**不可错过。 《纽约时报》, (4.99折) ,http://product.dangdang.com/23606140.html,¥39.50,南海出版公司,¥19.70, 一天
p23765175,★ 被马斯克用火箭送上太空的科幻神作，讲述人类未来两万年的历史。人教版七年级下册教材阅读书目。 ★ 银河帝国 百万册全新纪念版。 ★ 人类历史不容错过的系列小说（ Best All-Time Novel Series ） 世界SF小说协会，1966年，俄亥俄州 ★十年来，数万次修订， 成就中文世界经典译本 ！ ★地球人公认的 科幻圣经 ，文艺青年和技术宅的共同挚爱！ ★《银河帝国》系列小说，一直被认为是人类想象力的极限，人类历史上有趣迷人的故事，讲述人类未来两万年的历史。 ★1977年经典电影《星球大战》，偷取了本书构思。 ★2009年超卖座电影《阿凡达》，抄袭了本书创意。 ★2008年诺贝尔经济学奖获得者克鲁格曼则亲口承认，他的经济学理论来自《银河帝国》的启示。 ★出版60年来，本书对人类的太空探索、世界局势、前沿经济学理论、好莱坞电影产生了, (5折) ,http://product.dangdang.com/23765175.html,¥35.00,江苏文艺出版社,¥17.50, 银河帝国：基地（被马斯克用火箭送上太空的科幻神作，讲述人类未来两万年的历史。人教版七年级下册教材阅读书目。）
p25185761,, (5折) ,http://product.dangdang.com/25185761.html,¥109.00,人民文学出版社,¥54.50, 失落的秘符（丹·布朗作品：插图珍藏版）
